Tag,Path,Mode,Methods,Description
DB_Properties,/DB/ESSF,,"GET, POST, PUT, DELETE","Delete Db Essf"
DB_Properties,/DB/ESSF/{id},,"GET, POST, PUT, DELETE","Delete Db Essf Key"
DB_Heat of Hydration Loads,/DB/ETFC,,"GET, POST, PUT, DELETE","Delete Db Etfc"
DB_Heat of Hydration Loads,/DB/ETFC/{id},,"GET, POST, PUT, DELETE","Delete Db Etfc Key"
DB_Temperature Loads,/DB/ETMP,,"GET, POST, PUT, DELETE","Delete Db Etmp"
DB_Temperature Loads,/DB/ETMP/{id},,"GET, POST, PUT, DELETE","Delete Db Etmp Key"
DB_Properties,/DB/EWSF,,"GET, POST, PUT, DELETE","Delete Db Ewsf"
DB_Properties,/DB/EWSF/{id},,"GET, POST, PUT, DELETE","Delete Db Ewsf Key"
DB_Prestress Loads,/DB/EXLD,,"GET, POST, PUT, DELETE","Delete Db Exld"
DB_Prestress Loads,/DB/EXLD/{id},,"GET, POST, PUT, DELETE","Delete Db Exld Key"
DB_Static Loads,/DB/FBLA,,"GET, POST, PUT, DELETE","Delete Db Fbla"
DB_Static Loads,/DB/FBLA/{id},,"GET, POST, PUT, DELETE","Delete Db Fbla Key"
DB_Static Loads,/DB/FBLD,,"GET, POST, PUT, DELETE","Delete Db Fbld"
DB_Static Loads,/DB/FBLD/{id},,"GET, POST, PUT, DELETE","Delete Db Fbld Key"
DB_Properties,/DB/FIBR,,"GET, POST, PUT, DELETE","Delete Db Fibr"
DB_Properties,/DB/FIBR/{id},,"GET, POST, PUT, DELETE","Delete Db Fibr Key"
DB_Properties,/DB/FIMP,,"GET, POST, PUT, DELETE","Delete Db Fimp"
DB_Properties,/DB/FIMP/{id},,"GET, POST, PUT, DELETE","Delete Db Fimp Key"
DB_Static Loads,/DB/FMLD,,"GET, POST, PUT, DELETE","Delete Db Fmld"
DB_Static Loads,/DB/FMLD/{id},,"GET, POST, PUT, DELETE","Delete Db Fmld Key"
DB_Boundary,/DB/FRLS,,"GET, POST, PUT, DELETE","Delete Db Frls"
DB_Boundary,/DB/FRLS/{id},,"GET, POST, PUT, DELETE","Delete Db Frls Key"
DB_Grid Model Analysis Loads,/DB/GALD,,"GET, POST, PUT, DELETE","Delete Db Gald"
DB_Grid Model Analysis Loads,/DB/GALD/{id},,"GET, POST, PUT, DELETE","Delete Db Gald Key"
DB_Bridge Specialization Results,/DB/GCMB,,"GET, POST, PUT, DELETE","Delete Db Gcmb"
DB_Bridge Specialization Results,/DB/GCMB/{id},,"GET, POST, PUT, DELETE","Delete Db Gcmb Key"
DB_Properties,/DB/GRDP,,"GET, POST, PUT, DELETE","Delete Db Grdp"
DB_Properties,/DB/GRDP/{id},,"GET, POST, PUT, DELETE","Delete Db Grdp Key"
DB_Project,/DB/GRUP,,"GET, POST, PUT, DELETE","Delete Db Grup"
DB_Project,/DB/GRUP/{id},,"GET, POST, PUT, DELETE","Delete Db Grup Key"
DB_Bridge Specialization Results,/DB/GSBG,,"GET, POST, PUT, DELETE","Delete Db Gsbg"
DB_Bridge Specialization Results,/DB/GSBG/{id},,"GET, POST, PUT, DELETE","Delete Db Gsbg Key"
DB_Boundary,/DB/GSPR,,"GET, POST, PUT, DELETE","Delete Db Gspr"
DB_Boundary,/DB/GSPR/{id},,"GET, POST, PUT, DELETE","Delete Db Gspr Key"
DB_Boundary,/DB/GSTP,,"GET, POST, PUT, DELETE","Delete Db Gstp"
DB_Boundary,/DB/GSTP/{id},,"GET, POST, PUT, DELETE","Delete Db Gstp Key"
DB_Temperature Loads,/DB/GTMP,,"GET, POST, PUT, DELETE","Delete Db Gtmp"
DB_Temperature Loads,/DB/GTMP/{id},,"GET, POST, PUT, DELETE","Delete Db Gtmp Key"
DB_Heat of Hydration Loads,/DB/HAHS,,"GET, POST, PUT, DELETE","Delete Db Hahs"
DB_Heat of Hydration Loads,/DB/HAHS/{id},,"GET, POST, PUT, DELETE","Delete Db Hahs Key"
DB_Heat of Hydration Loads,/DB/HECB,,"GET, POST, PUT, DELETE","Delete Db Hecb"
DB_Heat of Hydration Loads,/DB/HECB/{id},,"GET, POST, PUT, DELETE","Delete Db Hecb Key"
DB_Analysis,/DB/HHCT,,"GET, POST, PUT, DELETE","Delete Db Hhct"
DB_Analysis,/DB/HHCT/{id},,"GET, POST, PUT, DELETE","Delete Db Hhct Key"
DB_Heat of Hydration Results,/DB/HHND,,"GET, POST, PUT, DELETE","Delete Db Hhnd"
DB_Heat of Hydration Results,/DB/HHND/{id},,"GET, POST, PUT, DELETE","Delete Db Hhnd Key"
DB_Heat of Hydration Loads,/DB/HPCE,,"GET, POST, PUT, DELETE","Delete Db Hpce"
DB_Heat of Hydration Loads,/DB/HPCE/{id},,"GET, POST, PUT, DELETE","Delete Db Hpce Key"
DB_Heat of Hydration Loads,/DB/HSFC,,"GET, POST, PUT, DELETE","Delete Db Hsfc"
DB_Heat of Hydration Loads,/DB/HSFC/{id},,"GET, POST, PUT, DELETE","Delete Db Hsfc Key"
DB_Heat of Hydration Loads,/DB/HSPT,,"GET, POST, PUT, DELETE","Delete Db Hspt"
DB_Heat of Hydration Loads,/DB/HSPT/{id},,"GET, POST, PUT, DELETE","Delete Db Hspt Key"
DB_Heat of Hydration Loads,/DB/HSTG,,"GET, POST, PUT, DELETE","Delete Db Hstg"
DB_Heat of Hydration Loads,/DB/HSTG/{id},,"GET, POST, PUT, DELETE","Delete Db Hstg Key"
DB_Properties,/DB/IEHC,,"GET, POST, PUT, DELETE","Delete Db Iehc"
DB_Properties,/DB/IEHC/{id},,"GET, POST, PUT, DELETE","Delete Db Iehc Key"
DB_Properties,/DB/IEHG,,"GET, POST, PUT, DELETE","Delete Db Iehg"
DB_Properties,/DB/IEHG/{id},,"GET, POST, PUT, DELETE","Delete Db Iehg Key"
DB_Properties,/DB/IEHP,,"GET, POST, PUT, DELETE","Delete Db Iehp"
DB_Properties,/DB/IEHP/{id},,"GET, POST, PUT, DELETE","Delete Db Iehp Key"
DB_Miscellaneous Loads,/DB/IELC,,"GET, POST, PUT, DELETE","Delete Db Ielc"
DB_Miscellaneous Loads,/DB/IELC/{id},,"GET, POST, PUT, DELETE","Delete Db Ielc Key"
DB_Boundary,/DB/IEPI,,"GET, POST, PUT, DELETE","Delete Db Iepi"
DB_Boundary,/DB/IEPI/{id},,"GET, POST, PUT, DELETE","Delete Db Iepi Key"
DB_Miscellaneous Loads,/DB/IFGS,,"GET, POST, PUT, DELETE","Delete Db Ifgs"
DB_Miscellaneous Loads,/DB/IFGS/{id},,"GET, POST, PUT, DELETE","Delete Db Ifgs Key"
DB_Properties,/DB/IMFM,,"GET, POST, PUT, DELETE","Delete Db Imfm"
DB_Properties,/DB/IMFM/{id},,"GET, POST, PUT, DELETE","Delete Db Imfm Key"
DB_Moving Loads,/DB/IMPF,,"GET, POST, PUT, DELETE","Delete Db Impf"
DB_Moving Loads,/DB/IMPF/{id},,"GET, POST, PUT, DELETE","Delete Db Impf Key"
DB_Miscellaneous Loads,/DB/INMF,,"GET, POST, PUT, DELETE","Delete Db Inmf"
DB_Miscellaneous Loads,/DB/INMF/{id},,"GET, POST, PUT, DELETE","Delete Db Inmf Key"
DB_Design,/DB/KFAC,,"GET, POST, PUT, DELETE","Delete Db Kfac"
DB_Design,/DB/KFAC/{id},,"GET, POST, PUT, DELETE","Delete Db Kfac Key"
DB_Analysis Results,/DB/LCOM-ALUM,,"GET, POST, PUT, DELETE","Delete Db Lcom Alum"
DB_Analysis Results,/DB/LCOM-ALUM/{id},,"GET, POST, PUT, DELETE","Delete Db Lcom Alum Key"
DB_Analysis Results,/DB/LCOM-CFSTEEL,,"GET, POST, PUT, DELETE","Delete Db Lcom Cfsteel"
DB_Analysis Results,/DB/LCOM-CFSTEEL/{id},,"GET, POST, PUT, DELETE","Delete Db Lcom Cfsteel Key"
