Tag,Path,Mode,Methods,Description
Description,/INFO/DB/BMLD,,GET,Beam Loads
Description,/INFO/DB/BNGR,,GET,Boundary Group
Description,/INFO/DB/BODF,,GET,Self-Weight
Description,/INFO/DB/BTMP,,GET,Beam Section Temperature
Description,/INFO/DB/BUCK,,GET,Buckling Analysis Control
Description,/INFO/DB/CAMB,,GET,FCM Camber Control
Description,/INFO/DB/CCFC,,GET,Convection Coefficient Functions
Description,/INFO/DB/CGLP,,GET,Change General Link Property
Description,/INFO/DB/CJFG,,GET,Concurrent Joint Force Group
Description,/INFO/DB/CLDR,,GET,Define Constraints Label Direction
Description,/INFO/DB/CLWP,,GET,Plate Cutting Line Diagram
Description,/INFO/DB/CMCS,,GET,Camber for Construction Stage
Description,/INFO/DB/CMFT,,GET,Description Cmft
Description,/INFO/DB/CNLD,,GET,Nodal Loads
Description,/INFO/DB/CONS,,GET,Constraint Support
Description,/INFO/DB/CO_F,,GET,Floor Load Color
Description,/INFO/DB/CO_M,,GET,Material Color
Description,/INFO/DB/CO_S,,GET,Section Color
Description,/INFO/DB/CO_T,,GET,Thickness Color
Description,/INFO/DB/CRGR,,GET,Concurrent Reaction Group
Description,/INFO/DB/CRPC,,GET,Creep Coefficient for Construction Stage
Description,/INFO/DB/CSCS,,GET,Composite Section for Construction Stage
Description,/INFO/DB/CUTL,,GET,Cutting Line
Description,/INFO/DB/DCON,,GET,RC Design Code
Description,/INFO/DB/DCTL,,GET,Definition of Frame
Description,/INFO/DB/DOEL,,GET,Domain-Element
Description,/INFO/DB/DSTL,,GET,Design Steel Code
Description,/INFO/DB/DYFG,,GET,Railway Dynamic Factor
Description,/INFO/DB/DYLA,,GET,Dynamic Load Allowance
Description,/INFO/DB/DYNF,,GET,Railway Dynamic Factor by Element
Description,/INFO/DB/EARE,,GET,Description Eare
Description,/INFO/DB/EDMP,,GET,Change Property
Description,/INFO/DB/EFCT,,GET,Small Displacement - Initial Force Control Data
Description,/INFO/DB/EIGV,,GET,Eigenvalue Analysis Control
Description,/INFO/DB/ELEM,,GET,Element
Description,/INFO/DB/ELNK,,GET,Elastic Link
Description,/INFO/DB/EPMT,,GET,Plastic Material
Description,/INFO/DB/EPSE,,GET,Description Epse
Description,/INFO/DB/EQMF,,GET,Description Eqmf
Description,/INFO/DB/ESSF,,GET,Element Stiffness Scale Factor
Description,/INFO/DB/ETFC,,GET,Ambient Temperature Functions
Description,/INFO/DB/ETMP,,GET,Element Temperature
Description,/INFO/DB/EWSF,,GET,Effective Width Scale Factor
Description,/INFO/DB/EXLD,,GET,External Type Load Case for Pretension
Description,/INFO/DB/FBLA,,GET,Assign Floor Loads
Description,/INFO/DB/FBLD,,GET,Define Floor Load Type
Description,/INFO/DB/FIBR,,GET,Fiber Division of Section
Description,/INFO/DB/FIMP,,GET,Inelastic Material Properties
Description,/INFO/DB/FMLD,,GET,Finishing Material Loads
Description,/INFO/DB/FRLS,,GET,Beam End Release
Description,/INFO/DB/GALD,,GET,Grid Analysis Load
Description,/INFO/DB/GCMB,,GET,General Camber Control
Description,/INFO/DB/GRDP,,GET,Group Damping
Description,/INFO/DB/GRUP,,GET,Structure Group
Description,/INFO/DB/GSBG,,GET,Bridge Girder Diagrams
Description,/INFO/DB/GSPR,,GET,Assign General Spring Supports
Description,/INFO/DB/GSTP,,GET,Define General Spring Type
Description,/INFO/DB/GTMP,,GET,Temperature Gradient
Description,/INFO/DB/HAHS,,GET,Assign Heat Source
Description,/INFO/DB/HECB,,GET,Element Convection Boundary
Description,/INFO/DB/HHCT,,GET,Heat of Hydration Analysis Control
Description,/INFO/DB/HHND,,GET,Heat of Hydaration Result Graph
Description,/INFO/DB/HPCE,,GET,Pipe Cooling
Description,/INFO/DB/HSFC,,GET,Heat Source Functions
Description,/INFO/DB/HSPT,,GET,Prescribed Temperature
Description,/INFO/DB/HSTG,,GET,Define Construction Stage for Hydration
Description,/INFO/DB/IEHC,,GET,Inelastic Hinge Control Data
Description,/INFO/DB/IEHG,,GET,Assign Inelastic Hinge Properties
Description,/INFO/DB/IEHP,,GET,Description Iehp
Description,/INFO/DB/IELC,,GET,Ignore Elements for Load Cases
Description,/INFO/DB/IEPI,,GET,Ignore Elements for Pushover Intial Load
Description,/INFO/DB/IFGS,,GET,Large Displacement - Initial Forces for Geometric Stiffness
Description,/INFO/DB/IMFM,,GET,Inelastic Material Properties for Fiber Model
Description,/INFO/DB/IMPF,,GET,Additional Impact Factor
Description,/INFO/DB/INMF,,GET,Small Displacement - Initial Element Force
Description,/INFO/DB/KFAC,,GET,Description Kfac
Description,/INFO/DB/LCOM-ALUM,,GET,Description Lcom Alu
